,locationID,latitude,longitude,category,results_total,avg_rating,avg_review_count,City,State/Province,Country
1161,2,-19.99697155,-157.78587140620786,,,,,Cook Islands,,Cook Islands
1162,8,-36.718804999999996,142.22095086226386,,,,,Grampians,Victoria,Australia
1163,9,49.5041747,-115.062867,,,,,Fernie,British Columbia,Canada
1164,10,42.64873625,18.094680152605108,,,,,Dubrovnik,Croatia,Croatia
1165,13,17.223472100000002,-61.9554608,,,,,Antigua and Barbuda,,Antigua and Barbuda
1166,14,25.265347100000003,55.292491399999996,,,,,Dubai,United Arab Emirates,United Arab Emirates
1167,16,21.721746,-71.5527809,,,,,Turks and Caicos Islands,,Turks and Caicos Islands
1168,20,-33.928992,18.417396,,,,,Cape Town,Western Cape,South Africa
1169,21,-19.1421421,146.83354856403196,,,,,Magnetic Island,Queensland,Australia
1170,22,-33.934444,18.869167,,,,,Stellenbosch,Western Cape,South Africa
1171,26,-6.166490799999999,39.2074312,,,,,Zanzibar,Tanzania,Tanzania
1172,27,-20.2759451,57.5703566,,,,,Mauritius,,Mauritius
1173,29,19.70318225,-79.9174627243246,,,,,Cayman Islands,,Cayman Islands
1174,30,-4.6574976999999995,55.45401460000001,,,,,Seychelles,,Seychelles
1175,33,31.6258257,-7.9891608,,,,,Marrakesh,Morocco,Morocco
1176,40,-33.953177600000004,115.07693689999999,,,,,Margaret River,Western Australia,Australia
1177,41,26.9154576,75.81898170000001,,,,,Jaipur,Rajasthan,India
1178,42,46.603353999999996,1.8883334999999999,,,,,French Polynesia,France,France
1179,43,13.1500331,-59.52503050000001,,,,,Barbados,,Barbados
1180,47,24.578720999999998,73.6862571,,,,,Udaipur,Rajasthan,India
1181,50,18.185050699999998,-77.3947693,,,,,Jamaica,,Jamaica
1182,51,12.51756625,-69.98186415210564,,,,,Aruba,Kingdom of the Netherlands,Netherlands
1183,52,-35.14181285,150.39164649482632,,,,,Shoalhaven,New South Wales,Australia
1184,53,-34.4175,19.2361111,,,,,Hermanus,Western Cape,South Africa
1185,55,-33.8611665,121.88851585854931,,,,,Esperance,Western Australia,Australia
1186,66,27.1752554,78.0098161,,,,,Agra,Uttar Pradesh,India
1187,68,36.4071112,25.456663652707157,,,,,Santorini,Greece,Greece
1188,69,55.399722499999996,10.3852104,,,,,Odense,Fyn,Denmark
1189,71,39.7837304,-100.445882,,,,,Kaua'i,Hawaii,United States
1190,79,-18.123969600000002,179.0122737,,,,,Fiji,,Fiji
1191,81,59.938731999999995,30.316228999999996,,,,,St. Petersburg,Florida,Russia
