LocationID,April,May,June,July,August,September,October,November,December,January,February,March
0,51.8,68,75.2,75.2,71.6,69.8,55.4,39.2,39.2,41,44.6,37.4
1,60.8,64.4,68,69.8,75.2,71.6,68,59,55.4,57.2,55.4,57.2
2,26.6,42.8,57.2,69.8,64.4,53.6,46.4,14,12.2,21.2,15.8,26.6
3,50,55.4,59,64.4,66.2,57.2,51.8,51.8,32,41,46.4,41
4,69.8,69.8,59,57.2,59,64.4,66.2,69.8,69.8,73.4,73.4,75.2
5,69.8,69.8,59,57.2,59,64.4,66.2,69.8,69.8,73.4,73.4,75.2
6,69.8,69.8,59,57.2,59,64.4,66.2,69.8,69.8,73.4,73.4,75.2
7,69.8,69.8,59,57.2,59,64.4,66.2,69.8,69.8,73.4,73.4,75.2
8,68,68,55.4,53.6,55.4,62.6,64.4,69.8,71.6,75.2,75.2,77
9,68,68,55.4,53.6,55.4,62.6,64.4,69.8,71.6,75.2,75.2,77
10,68,68,55.4,53.6,55.4,62.6,64.4,69.8,71.6,75.2,75.2,77
11,68,68,55.4,53.6,55.4,62.6,64.4,69.8,71.6,75.2,75.2,77
12,51.8,59,71.6,78.8,75.2,64.4,60.8,41,35.6,37.4,37.4,46.4
13,64.4,57.2,50,48.2,50,50,53.6,57.2,60.8,75.2,73.4,69.8
14,24.8,39.2,48.2,64.4,69.8,57.2,50,14,12.2,26.6,23,21.2
15,44.6,60.8,71.6,73.4,69.8,62.6,51.8,28.4,17.6,26.6,23,35.6
16,64.4,62.6,53.6,51.8,55.4,59,60.8,64.4,66.2,73.4,73.4,73.4
17,78.8,80.6,80.6,80.6,82.4,82.4,82.4,80.6,78.8,78.8,77,77
18,51.8,55.4,62.6,68,69.8,62.6,59,55.4,39.2,44.6,48.2,46.4
19,62.6,69.8,78.8,80.6,80.6,75.2,69.8,64.4,59,57.2,55.4,62.6
20,66.2,71.6,82.4,78.8,78.8,77,69.8,60.8,55.4,53.6,57.2,59
21,77,75.2,69.8,66.2,68,73.4,77,78.8,80.6,78.8,77,78.8
22,75.2,73.4,64.4,60.8,66.2,73.4,77,78.8,80.6,78.8,77,80.6
23,66.2,60.8,55.4,55.4,50,57.2,66.2,66.2,71.6,75.2,73.4,68
24,66.2,60.8,55.4,55.4,50,57.2,66.2,66.2,71.6,75.2,73.4,68
25,68,69.8,57.2,57.2,57.2,62.6,64.4,68,69.8,71.6,73.4,73.4
26,48.2,46.4,33.8,32,35.6,39.2,46.4,57.2,57.2,62.6,60.8,50
27,64.4,73.4,84.2,91.4,89.6,77,77,51.8,46.4,50,50,59
28,53.6,69.8,75.2,78.8,77,68,64.4,53.6,41,42.8,44.6,50
29,42.8,60.8,60.8,68,64.4,60.8,48.2,37.4,26.6,23,28.4,30.2
30,30.2,48.2,60.8,62.6,59,51.8,42.8,14,10.4,21.2,15.8,21.2
31,35.6,46.4,57.2,69.8,75.2,60.8,57.2,21.2,15.8,32,26.6,26.6
32,44.6,59,66.2,69.8,69.8,68,51.8,39.2,33.8,32,35.6,32
33,69.8,77,84.2,82.4,82.4,78.8,71.6,57.2,60.8,59,57.2,62.6
34,80.6,82.4,84.2,84.2,82.4,82.4,82.4,84.2,82.4,80.6,80.6,80.6
35,55.4,66.2,71.6,77,71.6,69.8,66.2,59,50,48.2,48.2,55.4
36,62.6,60.8,60.8,57.2,57.2,57.2,55.4,57.2,64.4,66.2,68,68
37,78.8,80.6,80.6,80.6,82.4,82.4,82.4,80.6,78.8,78.8,77,78.8
38,80.6,80.6,78.8,82.4,80.6,78.8,78.8,77,75.2,73.4,75.2,78.8
39,51.8,57.2,62.6,69.8,71.6,60.8,57.2,53.6,35.6,42.8,46.4,44.6
40,42.8,50,53.6,55.4,60.8,57.2,50,50,33.8,39.2,42.8,35.6
41,66.2,55.4,50,46.4,50,48.2,55.4,59,62.6,77,71.6,69.8
42,66.2,55.4,50,46.4,50,48.2,55.4,59,62.6,77,71.6,69.8
43,66.2,55.4,50,46.4,50,48.2,55.4,59,62.6,77,71.6,69.8
44,66.2,55.4,50,46.4,50,48.2,55.4,59,62.6,77,71.6,69.8
45,59,69.8,80.6,84.2,75.2,71.6,64.4,42.8,35.6,39.2,37.4,50
46,78.8,80.6,80.6,80.6,82.4,84.2,82.4,82.4,80.6,78.8,78.8,78.8
47,62.6,60.8,51.8,50,53.6,55.4,57.2,60.8,60.8,69.8,69.8,68
48,62.6,60.8,59,55.4,55.4,57.2,57.2,59,60.8,66.2,68,68
49,77,75.2,69.8,66.2,69.8,75.2,78.8,78.8,82.4,78.8,78.8,80.6
50,39.2,51.8,60.8,64.4,57.2,51.8,46.4,35.6,19.4,23,30.2,28.4
51,64.4,60.8,51.8,50,53.6,57.2,59,62.6,64.4,73.4,73.4,73.4
52,64.4,60.8,51.8,50,53.6,57.2,59,62.6,64.4,73.4,73.4,73.4
53,64.4,60.8,51.8,50,53.6,57.2,59,62.6,64.4,73.4,73.4,73.4
54,64.4,60.8,51.8,50,53.6,57.2,59,62.6,64.4,73.4,73.4,73.4
55,17.6,37.4,48.2,62.6,66.2,53.6,44.6,15.8,8.6,21.2,17.6,14
56,39.2,59,57.2,64.4,60.8,59,46.4,33.8,24.8,23,28.4,26.6
57,64.4,57.2,51.8,50,51.8,51.8,55.4,59,59,71.6,69.8,66.2
58,66.2,62.6,62.6,59,57.2,59,59,62.6,71.6,73.4,73.4,71.6
59,51.8,55.4,60.8,69.8,73.4,59,53.6,51.8,32,42.8,44.6,44.6
60,59,68,77,82.4,73.4,71.6,66.2,59,44.6,51.8,48.2,55.4
61,30.2,46.4,60.8,64.4,60.8,55.4,46.4,15.8,12.2,23,17.6,23
62,44.6,53.6,59,62.6,69.8,59,53.6,50,30.2,41,41,39.2
63,50,55.4,59,66.2,69.8,59,55.4,53.6,37.4,44.6,46.4,44.6
64,69.8,86,91.4,95,89.6,82.4,75.2,50,53.6,60.8,50,57.2
65,73.4,80.6,84.2,86,84.2,84.2,78.8,64.4,68,66.2,59,66.2
66,78.8,73.4,73.4,68,68,69.8,69.8,71.6,77,82.4,86,84.2
67,77,78.8,84.2,84.2,84.2,84.2,80.6,77,75.2,68,73.4,75.2
68,77,78.8,84.2,84.2,84.2,84.2,80.6,77,75.2,68,73.4,75.2
69,77,78.8,84.2,84.2,84.2,84.2,80.6,77,75.2,68,73.4,75.2
70,77,78.8,84.2,84.2,84.2,84.2,80.6,77,75.2,68,73.4,75.2
71,50,60.8,69.8,73.4,75.2,66.2,64.4,48.2,42.8,46.4,44.6,48.2
